,avg_price,brand_id,brand_name,item_num,sale,sold,second_category_id,second_category_name_en,second_is_parent,second_level,second_name,second_num,second_parent_id,first_category_id,first_category_name_en,first_is_parent,first_level,first_name,first_num,first_parent_id
0,373.77,29902,Vero Moda,222.0,28834527.0,77145.0,50010850,Dress,False,2,连衣裙,0,16,16,Ladies / Ladies,True,1,女装/女士精品,335,0
1,291.17,29896,ONLY,272.0,20474730.0,70319.0,50010850,Dress,False,2,连衣裙,0,16,16,Ladies / Ladies,True,1,女装/女士精品,335,0
2,295.87,29895,Ochirly/欧时力,338.0,17580606.0,59421.0,50010850,Dress,False,2,连衣裙,0,16,16,Ladies / Ladies,True,1,女装/女士精品,335,0
3,717.04,86206958,Mo＆Co．/摩安珂,174.0,16972317.0,23670.0,50010850,Dress,False,2,连衣裙,0,16,16,Ladies / Ladies,True,1,女装/女士精品,335,0
4,147.23,8598007,HSTYLE/韩都衣舍,260.0,16165587.84,109797.0,50010850,Dress,False,2,连衣裙,0,16,16,Ladies / Ladies,True,1,女装/女士精品,335,0
5,305.34,526642821,灵子飞飞,408.0,13002827.0,42585.0,50010850,Dress,False,2,连衣裙,0,16,16,Ladies / Ladies,True,1,女装/女士精品,335,0
6,957.76,79958932,音儿,231.0,12667363.100000001,13226.0,50010850,Dress,False,2,连衣裙,0,16,16,Ladies / Ladies,True,1,女装/女士精品,335,0
7,1016.12,28977926,KAMILAN 卡米兰,197.0,12263606.0,12069.0,50010850,Dress,False,2,连衣裙,0,16,16,Ladies / Ladies,True,1,女装/女士精品,335,0
8,143.38,115612323,芙娜妮,66.0,11637854.0,81167.0,50010850,Dress,False,2,连衣裙,0,16,16,Ladies / Ladies,True,1,女装/女士精品,335,0
9,328.03,34647955,Five Plus,342.0,11182470.0,34090.0,50010850,Dress,False,2,连衣裙,0,16,16,Ladies / Ladies,True,1,女装/女士精品,335,0
10,138.67,64180915,ESE&middot;Y/逸阳,417.0,29743953.119999994,214493.0,1622,trousers,True,2,裤子,0,16,16,Ladies / Ladies,True,1,女装/女士精品,335,0
11,126.1,29527,Uniqlo/优衣库,23.0,28664296.0,227305.0,1622,trousers,True,2,裤子,0,16,16,Ladies / Ladies,True,1,女装/女士精品,335,0
12,62.9,29470,Bosideng/波司登,436.0,25373319.899999995,403412.0,1622,trousers,True,2,裤子,0,16,16,Ladies / Ladies,True,1,女装/女士精品,335,0
13,125.79,135819656,范儿屋,47.0,19386273.0,154111.0,1622,trousers,True,2,裤子,0,16,16,Ladies / Ladies,True,1,女装/女士精品,335,0
14,41.64,107380,南极人,203.0,18902363.7,453921.0,1622,trousers,True,2,裤子,0,16,16,Ladies / Ladies,True,1,女装/女士精品,335,0
15,271.5,115393,Eifini/伊芙丽,58.0,11431944.0,42107.0,1622,trousers,True,2,裤子,0,16,16,Ladies / Ladies,True,1,女装/女士精品,335,0
16,230.35,29902,Vero Moda,144.0,11011977.0,47806.0,1622,trousers,True,2,裤子,0,16,16,Ladies / Ladies,True,1,女装/女士精品,335,0
17,189.43,29895,Ochirly/欧时力,234.0,10233212.0,54020.0,1622,trousers,True,2,裤子,0,16,16,Ladies / Ladies,True,1,女装/女士精品,335,0
18,540.66,86206958,Mo＆Co．/摩安珂,110.0,8793895.0,16265.0,1622,trousers,True,2,裤子,0,16,16,Ladies / Ladies,True,1,女装/女士精品,335,0
19,194.11,29896,ONLY,139.0,7374080.0,37990.0,1622,trousers,True,2,裤子,0,16,16,Ladies / Ladies,True,1,女装/女士精品,335,0
20,894.96,115393,Eifini/伊芙丽,163.0,94711419.0,105827.0,50013194,Woolen coat,False,2,毛呢外套,0,16,16,Ladies / Ladies,True,1,女装/女士精品,335,0
21,670.69,109718,PEACEBIRD/太平鸟,242.0,32876777.0,49019.0,50013194,Woolen coat,False,2,毛呢外套,0,16,16,Ladies / Ladies,True,1,女装/女士精品,335,0
22,478.2,12139698,La Chapelle/拉夏贝尔,32.0,31510372.0,65894.0,50013194,Woolen coat,False,2,毛呢外套,0,16,16,Ladies / Ladies,True,1,女装/女士精品,335,0
23,813.01,29902,Vero Moda,75.0,30642205.0,37690.0,50013194,Woolen coat,False,2,毛呢外套,0,16,16,Ladies / Ladies,True,1,女装/女士精品,335,0
24,675.9,638674645,MeetMetro,142.0,29699087.0,43940.0,50013194,Woolen coat,False,2,毛呢外套,0,16,16,Ladies / Ladies,True,1,女装/女士精品,335,0
25,447.29,4057780,乐町,226.0,27672786.0,61868.0,50013194,Woolen coat,False,2,毛呢外套,0,16,16,Ladies / Ladies,True,1,女装/女士精品,335,0
26,624.52,29895,Ochirly/欧时力,175.0,27270347.0,43666.0,50013194,Woolen coat,False,2,毛呢外套,0,16,16,Ladies / Ladies,True,1,女装/女士精品,335,0
27,822.25,93024392,Bool/芭欧,125.0,24670065.0,30003.0,50013194,Woolen coat,False,2,毛呢外套,0,16,16,Ladies / Ladies,True,1,女装/女士精品,335,0
28,781.98,29896,ONLY,80.0,23453043.0,29992.0,50013194,Woolen coat,False,2,毛呢外套,0,16,16,Ladies / Ladies,True,1,女装/女士精品,335,0
29,1446.17,79958932,音儿,252.0,22923308.31,15851.0,50013194,Woolen coat,False,2,毛呢外套,0,16,16,Ladies / Ladies,True,1,女装/女士精品,335,0
